TIME	20170603_W01	20170603_W02	20170603_W03	20170603_W05	20170603_W06	20170605_W06	20170605_W07	20170605_W08	20170605_W09	20170605_W10	20170605_W11	20180415_780_W06	20180415_780_W07	20180415_780_W08	20180415_780_W09	20180415_780_W10	20180421_DB_W07	20180421_DB_W08	20180421_DB_W09	20180421_DB_W10	20180421_DB_W11	20180421_DB_W12	20180421_NLO_W05	20180421_NLO_W06	20180421_NLO_W08	20180422_780_W06	20180422_780_W07	20180422_780_W08	20180422_780_W09	20180429_DB_W06	20180429_DB_W08	20180505_780_W05	20180505_780_W06	20180505_780_W07
50	4790.65	6585.375	5659.9	4453.528	7155.748	3159.249	2566.071	2671.602	2366.202	4458.297	3440.406	10379.445	9521.547	8917.341	1830.192	8734.652	3688.563	1361.292	8185.788	4005.132	8713.692	10930.425	13646.282	3828.036	14975.331	7108.519	8074.993	1875.778	9544.799	4419.322	10002.576	6922.036	2820.495	2382.973
51	4790.087	6578.032	5771.807	4467.602	7337.568	3242.405	2650.132	2737.15	2301.977	4565.631	3405.514	11038.66	10131.521	8859.748	1844.616	8842.475	3727.896	1400.13	8081.315	4340.325	9005.236	10794.184	13801.814	3906.382	14717.531	7135.44	8137.567	1887.592	10024.617	4412.924	9882.601	7467.81	2808.527	2505.927
52	4804.86	6729.778	5859.177	4486.194	7449.371	3357.566	2712.974	2802.504	2270.608	4714.637	3354.144	11199.911	10265.36	8732.313	1837.938	8572.292	3748.86	1429.23	7970.814	4589.222	9083	10526.133	13932.112	3960.661	14360.989	7248.468	8395.628	1917.316	10516.639	4410.656	9812.852	7861.444	2714.393	2512.611
53	4774.219	6878.75	5912.864	4485.446	7578.782	3427.437	2710.59	2867.797	2206.012	4811.648	3286.288	11255.569	10478.243	8914.493	1835.335	8382.802	3727.097	1426.788	7838.326	4752.184	9126.619	10299.038	13722.332	4006.021	14180.164	7144.04	8408.84	1862.666	10391.017	4406.569	9690.35	8369.537	2701.99	2584.864
54	4785.983	7154.081	5949.118	4479.154	7661.066	3441.731	2662.047	2846.505	2158.747	4892.741	3213.141	11105.883	10481.258	8985.734	1838.677	8041.411	3672.748	1439.264	7720.678	4767.349	8868.586	10001.971	13254.719	4033.915	13781.987	7053.983	8596.084	1863.395	10276.818	4398.011	9663.01	8345.076	2584.957	2530.372
55	4767.805	7350.93	6004.312	4450.787	7556.61	3330.491	2660.059	2828.773	2111.61	4896.085	3131.608	10557.324	10173.107	8964.948	1801.484	7695.107	3610.248	1418.006	7595.242	4729.458	8674.784	9708.404	12684.166	3980.338	13292.735	7032.101	8600.895	1856.98	10080.193	4438.931	9675.071	8368.078	2514.958	2528.883
56	4754.064	7523.438	5956.054	4429.881	7474.639	3319.698	2631.479	2786.655	2106.926	4872.34	3066.382	10189.978	9963.361	9120.682	1820.527	7406.616	3498.454	1403.099	7469.484	4623.535	8316.873	9466.326	12131.278	3918.73	13079.892	6831.941	8657.041	1870.093	9938.395	4479.244	9748.754	8341.59	2479.071	2499.826
57	4751.237	7707.883	5988.861	4396.563	7307.956	3229.973	2556.912	2728.125	2113.311	4795.86	3004.989	9575.169	9435.983	9008.188	1822.298	7117.805	3409.04	1390.813	7384.309	4452.63	8045.442	9333.607	11675.972	3886.552	12787.637	6662.817	8517.425	1850.58	9668.803	4527.044	9909.26	7939.761	2401.97	2442.086
58	4746.311	7728.979	5958.567	4379.704	7200.913	3138.756	2522.22	2672.649	2155.684	4737.963	2973.645	9189.375	9075.768	9106.563	1862.535	7058.046	3331.091	1385.053	7410.421	4309.664	7777.83	9300.8	11228.632	3794.684	12626.748	6468.886	8384.636	1856.422	9490.46	4604.729	10147.565	7781.265	2446.551	2467.501
59	4743.125	7709.786	5957.562	4346.704	7048.392	2989.611	2463.688	2606.308	2237.212	4661.246	2989.517	8637.976	8591.139	8926.508	1907.65	7060.529	3268.469	1375.199	7461.09	4129.642	7630.364	9416.287	10838.223	3737.612	12922.371	6389.303	8499.067	1885.729	9598.078	4691.194	10528.116	7415.419	2458.167	2420.395
